Epoch	Loss	Val_Loss	MAE	Val_MAE
1	26.7713	212.8896	1.9767	4.6290
2	26.5161	217.0126	1.9802	3.4028
3	26.8857	211.9638	1.9350	4.1436
4	26.2898	211.3571	1.9007	4.3138
5	26.5812	212.6151	1.9204	3.7821
6	26.6909	212.3694	1.9684	3.7627
7	26.5690	210.8123	1.8914	3.9836
8	26.8515	210.2654	1.8785	3.7926
9	27.4740	211.3086	1.9764	3.9388
10	27.1924	212.0603	1.9925	3.9493
11	27.1508	213.0709	2.0247	4.0256
12	26.7758	209.1157	2.0047	4.2562
13	27.0127	210.0021	2.0215	3.7697
14	26.9527	209.8722	1.9935	4.1493
15	26.6657	209.2632	1.9865	3.8843
16	26.7936	208.8075	2.0068	3.8530
17	26.5216	209.2412	1.9398	3.7188
18	26.7981	209.7089	1.8906	3.9295
19	26.8493	209.5600	1.9783	4.3368
20	26.4082	207.4809	1.9270	3.6377
21	26.3596	210.0760	1.9191	3.9980
22	26.3336	208.8938	1.9544	3.7919
23	26.8116	209.5606	2.0118	3.8963
24	26.6319	210.2971	2.0136	3.9200
25	26.6093	208.5423	2.0426	3.8638
26	26.5481	209.2868	2.0375	3.7361
27	26.1472	209.2385	1.9334	3.6789
28	26.8093	208.9708	1.9655	3.6719
29	26.6649	210.4102	1.9971	3.7808
30	26.9140	209.7933	2.1159	3.9877
31	26.8200	209.2302	2.0755	4.1206
32	26.4998	208.3026	2.0351	3.9227
